\delta(us),Demand(us),Runtime(s),C.Runtime(s),M(#),W(RPM),C(us),A(RPM^2),DELTA_SET(us),PRECISION(#),MAX RAM(bytes),e_r,e_b,e_f,1-E,Sln Multiplier,Log time(YYYY-MM-DD-HH-MN-SS)
1000000,34740,0.10667110234498978,0.10669289156794548,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",10000,"[1000000]",6,3216560,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-38
1000000,34740,0.106805969029665,0.1068233922123909,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",20000,"[1000000]",6,3227832,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-39
1000000,34740,0.10904560983181,0.10906369984149933,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",30000,"[1000000]",6,3266644,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-40
1000000,34740,0.10979398712515831,0.10981173068284988,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",40000,"[1000000]",6,3308220,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-42
1000000,34740,0.11164618656039238,0.11166221275925636,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",50000,"[1000000]",6,3348092,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-43
1000000,34740,0.11269097030162811,0.1127074547111988,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",60000,"[1000000]",6,3391680,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-44
1000000,34740,0.12424467131495476,0.1242607906460762,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",70000,"[1000000]",6,3626804,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-45
1000000,34740,0.15927734971046448,0.1592939794063568,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",80000,"[1000000]",6,4540676,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-46
1000000,34740,0.2123958356678486,0.21241309121251106,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",90000,"[1000000]",6,6041876,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-47
1000000,34740,0.2805325910449028,0.28054946288466454,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",100000,"[1000000]",6,7781032,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-49
1000000,34740,0.368551854044199,0.36856963858008385,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",110000,"[1000000]",6,10400404,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-50
1000000,34740,0.45225176587700844,0.45226960629224777,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",120000,"[1000000]",6,12507976,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-51
1000000,34927,0.5358355306088924,0.5358578898012638,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",130000,"[1000000]",6,14951860,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-53
1000000,34927,0.6465745232999325,0.6465926952660084,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",140000,"[1000000]",6,17896212,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-55
1000000,34927,0.7863683477044106,0.7863874472677708,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",150000,"[1000000]",6,21202084,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-56
1000000,35316,0.9760177955031395,0.9760379828512669,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",160000,"[1000000]",6,26601728,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-17-58
1000000,35316,1.2722539901733398,1.272273875772953,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",170000,"[1000000]",6,33185384,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-18-01
1000000,35705,1.5893279872834682,1.58934872969985,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",180000,"[1000000]",6,39965616,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-18-03
1000000,35705,1.897824976593256,1.8978455737233162,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",190000,"[1000000]",6,48302788,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-18-06
1000000,35705,2.4516856782138348,2.4517068192362785,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",200000,"[1000000]",6,59545492,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-18-10
1000000,35705,2.939638491719961,2.939660709351301,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",210000,"[1000000]",6,71574228,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-18-14
1000000,35705,3.592732284218073,3.592754576355219,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",220000,"[1000000]",6,88138364,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-18-19
1000000,35705,4.243000965565443,4.24302725866437,6,"[1200, 2200, 3200, 4200, 5200, 6200, 7200]","[0, 965, 576, 424, 343, 277, 246]",230000,"[1000000]",6,102399620,0.025,0.025,0.025,0.9268593749999999,1.0789123215158718,-2024-06-0106-18-24
